"yplus2-rfile"
"Time Step" "yplus2"
("Time Step" "yplus2")
0 70.29090227906619
1 71.44607291507556
2 76.34776962698533
3 75.95178464596781
4 73.95459364670978
5 76.47281025534144
6 77.81155094296763
7 75.88829744211468
8 76.45109419444583
9 78.47927182850974
10 77.72047813547222
11 77.08781161481271
12 78.73145695235458
13 79.16525344791161
14 78.2665778533121
15 79.04572309318456
16 80.14735708157066
17 79.664249668146
18 79.67677182518297
19 80.82091420157691
20 80.99155685428344
21 80.65125881452862
22 81.41392020347946
23 82.09510190115304
24 81.84966383662837
25 82.12938017961501
26 82.98646490265074
27 83.09938018736014
28 83.06031104153418
29 83.77205634123709
30 84.26458696779409
31 84.18755969326267
32 84.59208278694095
33 85.29299529087076
34 85.41519077502103
35 85.54678820438434
36 86.21946678916605
37 86.62935452367371
38 86.66595279616736
39 87.13701297644461
40 87.76121927923451
41 87.90397083643695
42 88.13844411471271
43 88.8001586169546
44 89.17392826603572
45 89.27459048990754
46 89.79887618218252
47 90.39550090948251
48 90.54558728517183
49 90.84588267743149
50 91.52682456772149
51 91.88197312398157
52 92.01634933408172
53 92.5963410655615
54 93.19531462209902
55 93.33622664794211
56 93.68265948519415
57 94.41610114675581
58 94.75955036860441
59 94.89081660169336
60 95.54339230982428
61 96.1774842741594
62 96.27459183473792
63 96.65444009137005
64 97.48583449807185
65 97.80704236842266
66 97.88691849129893
67 98.64733336395653
68 99.3595562051477
69 99.34907764600491
70 99.74542044478763
71 100.7743979218711
72 101.0629524385384
73 100.9956081081573
74 101.9531107788299
75 102.8513431541786
76 102.5966756634935
77 102.9611141582206
78 104.3982248690143
79 104.610983657749
80 104.127120661732
81 105.4514028461994
82 106.7807473374324
83 105.9192739191983
84 106.0789063979779
85 108.4747551054004
86 108.5714302796283
87 106.9467854840383
88 109.0333585830447
89 111.5804604544158
90 109.2029377084345
91 108.491780449128
92 113.4092778752257
93 113.5731950432638
94 108.5261997847109
95 112.2095696850551
96 118.7910086000648
97 112.4315511928613
98 107.8893856060675
99 120.3258641637743
100 122.3584456415361
101 105.5460177308398
102 112.0647362992579
103 134.2241574592897
104 116.707418971494
105 93.22243195031417
106 131.7416059860101
107 148.4072975320992
108 85.16212454686274
109 89.65235830442388
110 180.2438486813245
111 135.6317902599967
112 11.82269886732625
113 144.690812932452
114 239.5556279934283
115 24.31021236916074
116 12.81977899886344
