"inletvel2-rfile"
"Time Step" "inletvel2"
("Time Step" "inletvel2")
0 0.9000000101039205
1 0.8994078784972727
2 0.9618459613764456
3 0.952315826772385
4 0.9198702338740807
5 0.9481614858136136
6 0.9614952823148537
7 0.9307654049909677
8 0.9325634049620901
9 0.9543252421182215
10 0.9394292644780222
11 0.9256611653452327
12 0.9416888961085055
13 0.9423278242558595
14 0.9254590286479011
15 0.9299394913711387
16 0.9388501323856342
17 0.9275315304593879
18 0.9222217938898801
19 0.9312655263213381
20 0.9282339915469399
21 0.9186279640669619
22 0.922631518793944
23 0.9257663918736772
24 0.9174502548970273
25 0.9153943598999907
26 0.9204063137775667
27 0.9164536792896395
28 0.9105305360685094
29 0.9135458040273486
30 0.9140055758373756
31 0.9076410065134667
32 0.9068365852013441
33 0.9095314708975569
34 0.9054678209989206
35 0.9014079485712647
36 0.9035529757626926
37 0.9026992319507627
38 0.8975056422625225
39 0.89715554557101
40 0.898537104332122
41 0.8944918032566179
42 0.8913837906684019
43 0.8929757597260101
44 0.891398399482668
45 0.8867605039518585
46 0.886667908138647
47 0.8873563894467553
48 0.8832013300890345
49 0.8805694846494613
50 0.8819584559186783
51 0.8798869053306138
52 0.8754273937939003
53 0.8755531554047431
54 0.8758723773929022
55 0.8714231319307072
56 0.8690005602736554
57 0.870491748943961
58 0.8680085649132625
59 0.8633305420151752
60 0.8638032723670319
61 0.8640775399024039
62 0.8590031217517592
63 0.8566292723630483
64 0.8586290531789526
65 0.8556571586830573
66 0.8502962636904989
67 0.8513798183015366
68 0.8519938628488375
69 0.8457388207142745
70 0.8431949375487957
71 0.8464628345894019
72 0.8428588628766047
73 0.8359055050536667
74 0.838223769488605
75 0.8399984265051936
76 0.8313798330346501
77 0.8281901858628397
78 0.8344792845793991
79 0.8299618166682505
80 0.8192879995576153
81 0.8242182498134377
82 0.8291909356085722
83 0.8153755555001866
84 0.8101398925767224
85 0.8237402267724883
86 0.8180416762468202
87 0.7979869128220552
88 0.8084684647364393
89 0.8227373676699294
90 0.7968779815270958
91 0.7844352493106129
92 0.8170636232026202
93 0.8117207889655671
94 0.7653862915659465
95 0.787213181274333
96 0.8316678533863529
97 0.7760386322921706
98 0.7346962788664207
99 0.8220661889099575
100 0.8304019898194657
101 0.6991889253290323
102 0.7397509026919125
103 0.8964566726020827
104 0.7617316385460732
105 0.5882435333338543
106 0.8548002112553988
107 0.9674548933619794
108 0.5240676193780317
109 0.5431219138045397
110 1.173178722631694
111 0.849676315371271
112 0.05361408555958105
113 0.8901900181370517
114 1.542711011271742
115 0.03004763038083401
116 0
