"midshearstress2-rfile"
"Time Step" "midshearstress2"
("Time Step" "midshearstress2")
0 385.8691673078021
1 398.6236939434287
2 455.1966919434074
3 450.4941102559094
4 427.1116716029194
5 456.6866709521178
6 472.8194548073782
7 449.7371876545458
8 456.4266361462821
9 480.9645293266149
10 471.712128079181
11 464.0609209118286
12 484.0579116496596
13 489.4089649452516
14 478.3606660178357
15 487.9285732449968
16 501.6237290120693
17 495.5958785861357
18 495.7491233605502
19 510.087256573723
20 512.244608131922
21 507.9480992859667
22 517.597472829412
23 526.2950279921523
24 523.1528990062097
25 526.7323305809299
26 537.7821217769715
27 539.2468917045619
28 538.738610894406
29 548.0091277132583
30 554.4720026500935
31 553.4584905666597
32 558.7881768608684
33 568.0858521659851
34 569.7150471466124
35 571.4706561633741
36 580.4917847029395
37 586.0246735735532
38 586.519786514735
39 592.9116847129731
40 601.4365114978773
41 603.3949818597765
42 606.6172863484047
43 615.7591634088529
44 620.9539550258071
45 622.3562866495238
46 629.686342304663
47 638.0812509798882
48 640.2020327747318
49 644.4544243604586
50 654.1509000855684
51 659.2376048917239
52 661.1667645882347
53 669.5265503378813
54 678.2163647266291
55 680.2690263746384
56 685.3270643546873
57 696.0991746464931
58 701.1732031744721
59 703.1166283754919
60 712.8194104729567
61 722.3125773051771
62 723.7722703453391
63 729.4933257886873
64 742.0963308018277
65 746.9954793590891
66 748.2154759950362
67 759.8836925116631
68 770.8963497183837
69 770.7344174281864
70 776.8953909687224
71 793.0084117695757
72 797.5594750956255
73 796.4980824386884
74 811.672276969003
75 826.0401831465085
76 821.9567376396818
77 827.8060109567342
78 851.0773709358391
79 854.5542162997059
80 846.6684403649664
81 868.3395056967798
82 890.3743609583233
83 876.0703570958816
84 878.7104671953031
85 918.8517596900271
86 920.4967510060093
87 893.1551291831848
88 928.3408943238541
89 972.2272024088262
90 931.2441503061978
91 919.1457457956418
92 1004.354219016094
93 1007.269891589597
94 919.7364602323953
95 983.2083356576366
96 1101.941043183186
97 987.1337996572587
98 908.965615240242
99 1130.588789554823
100 1169.13244431827
101 869.9481310650777
102 980.6522260174684
103 1406.875388079941
104 1063.705543469725
105 678.6700451039961
106 1355.269793798825
107 1719.961245992538
108 566.662903384954
109 627.6131824279908
110 2537.104628508489
111 1436.898726491737
112 12.83008109410423
113 1634.952253551826
114 4481.788703414146
115 48.49210930245469
116 13.30913792789749
