"midvel2-rfile"
"Time Step" "midvel2"
("Time Step" "midvel2")
0 16.0643669870243
1 16.33307984911184
2 17.54149681465147
3 17.45753899622004
4 16.95505237737414
5 17.5596713505644
6 17.89503846829501
7 17.41846372045593
8 17.54184530249369
9 18.03941126833611
10 17.85326945917743
11 17.68640400587614
12 18.08334724698745
13 18.19055164474469
14 17.96278112956026
15 18.14447577228825
16 18.41368565018225
17 18.29131481528014
18 18.2853000022946
19 18.56188438881193
20 18.6020173701084
21 18.51154716476011
22 18.69249240041738
23 18.85777785973921
24 18.79287482678828
25 18.8545411125242
26 19.06149136042453
27 19.08599587476141
28 19.06980937429941
29 19.23934791241191
30 19.35716124207438
31 19.33246820272217
32 19.42506484771749
33 19.59302814900343
34 19.6180444148269
35 19.64323983323158
36 19.80299232525433
37 19.89905168304533
38 19.90098069517661
39 20.00949646915072
40 20.15751474871542
41 20.18609562193109
42 20.23580076107866
43 20.39202796043257
44 20.47795691677851
45 20.49485101452745
46 20.6161935779923
47 20.75686746463417
48 20.78641816913036
49 20.85178189837194
50 21.01237488689284
51 21.09282873255529
52 21.11712143785476
53 21.25156413367219
54 21.39205710688687
55 21.41833054707807
56 21.49427086508019
57 21.66720696459572
58 21.7437988461092
59 21.76641991420698
60 21.91826906376743
61 22.0668648590902
62 22.08132759490231
63 22.16478030462569
64 22.36161416891607
65 22.43210314707865
66 22.44096352404667
67 22.61887565644895
68 22.78649813346003
69 22.77343167389582
70 22.85930780167645
71 23.10282580506756
72 23.16286871985223
73 23.13195493559848
74 23.35551939757483
75 23.56687094256962
76 23.49084599596013
77 23.56607780688574
78 23.91034463338615
79 23.95124396189804
80 23.81569274087344
81 24.12915893234759
82 24.4480618502881
83 24.22017654113434
84 24.2421708302566
85 24.82492204579389
86 24.83719002606565
87 24.41585330919243
88 24.91712324780437
89 25.54162705020837
90 24.93569814596144
91 24.73793239525233
92 25.95062431118732
93 25.98120520318848
94 24.70602957536465
95 25.59951424493701
96 27.23838937204066
97 25.63920284900386
98 24.48322718482478
99 27.57382218997043
100 28.07326113741674
101 23.88268163849792
102 25.45296797828262
103 31.02483393354555
104 26.63103297765268
105 20.81714008161441
106 30.34890633203192
107 34.57881816292407
108 19.05496757354139
109 19.90665204242255
110 42.91971853910211
111 31.46976243256324
112 2.392034798041692
113 33.52920424141139
114 58.33258768563341
115 1.891341448358213
116 0.6902447827323068
