"yplus-rfile"
"Time Step" "yplus"
("Time Step" "yplus")
0 24.40977680108519
1 25.45786629606184
2 25.39994642844942
3 25.77344637851775
4 25.95919061540357
5 26.1803821452626
6 26.43580203934479
7 26.70055612947543
8 26.97567336064376
9 27.25357550905904
10 27.53579208109666
11 27.81351360890342
12 28.08698506327609
13 28.35807804379313
14 28.62828194677414
15 28.8944230104857
16 29.16398718921632
17 29.4284011769529
18 29.69010138243194
19 29.96350762216605
20 30.24568935172251
21 30.53124627089178
22 30.82214262377996
23 31.11496522977565
24 31.41303801683041
25 31.57217957629784
26 31.89708136861294
27 32.36215746707223
28 32.66117984656918
29 32.9663467645121
30 33.28045389746218
31 33.59598325702644
32 33.91555580152722
33 34.07868967193168
34 34.57091176819088
35 34.89255375746561
36 35.22106233756131
37 35.55946500392241
38 35.73873429609019
39 36.26091760429509
40 36.61753681147682
41 36.98525915197858
42 37.37052266312462
43 37.75858118528125
44 38.15670628159518
45 38.56289668206152
46 38.97716604390232
47 39.39808754478596
48 39.82902965994167
49 40.26500180494076
50 40.7144737251347
51 41.16709689081803
52 41.64742024869539
53 42.12380496819053
54 42.62339097039706
55 43.12560852191499
56 43.63488894339432
57 44.1514763212153
58 44.68274533037684
59 45.22586576377214
60 45.77997076037664
61 46.35136650784928
62 46.95556064028194
63 47.55725834320901
64 48.17255346430831
65 48.80701107853429
66 49.46189686906222
67 50.12153023431851
68 50.78833677812888
69 51.47137166426145
70 52.16608834782919
71 52.88578202972874
72 53.5965825842669
73 54.33536360002416
74 55.10286547320828
75 55.88807167397209
76 56.70150716824251
77 57.52942529467104
78 58.38578793055237
79 59.24803315644472
80 60.14240183176192
81 61.0838424497985
82 62.02740636382232
83 62.99623482007793
84 63.99125005092672
85 64.94263129812136
86 65.98133180476316
87 67.02508232003946
88 68.13348608544717
89 69.27382898171015
90 70.44316083558134
91 71.6422430083114
92 72.87681957338292
93 74.15738379827995
94 75.49000514146765
95 76.85702138590065
96 78.24822470924371
97 79.67423543521431
98 81.16921235991163
99 82.64817935142673
100 84.21043105522546
101 85.78930780060158
102 87.44255283345639
103 89.16516215694429
104 90.9146365549035
105 92.75283781194518
106 94.64400557373568
107 96.58006914354704
108 98.58267626618974
109 100.629970661587
110 102.7767546979672
111 105.0315230966065
112 107.3277909893824
113 109.6958333492794
114 112.1356552353751
115 114.6567783610639
116 117.3207937805063
117 119.504728287381
118 122.3290524012795
119 125.2626210037263
120 128.2492418943253
121 131.3889639174347
122 134.6711190755845
123 138.1698093620961
124 141.7771699876344
125 146.1697824405073
126 150.0063676616116
127 153.9636672179566
128 158.2215697555044
129 162.7169333119528
130 167.3528812200405
