"inlet_velocity-rfile"
"Time Step" "inlet_velocity"
("Time Step" "inlet_velocity")
0 0.9999999982074921
1 1.009999998189566
2 1.004999996722175
3 1.014519766303098
4 1.0149740924786
5 1.0148149290697
6 1.014893024763956
7 1.014836263228311
8 1.014821197819951
9 1.014759693483958
10 1.014745874178036
11 1.014683696544702
12 1.014669741115487
13 1.014607830747649
14 1.014593793199486
15 1.014532171663823
16 1.01451803872264
17 1.014456602446266
18 1.014442259774228
19 1.014381087888617
20 1.014366627092274
21 1.014305721172492
22 1.014291237717837
23 1.014230535407288
24 1.014215849115875
25 1.009411313574659
26 1.00940824173362
27 1.014130587402686
28 1.014065757939337
29 1.013976588557234
30 1.014011511535835
31 1.013986149500765
32 1.013969289211306
33 1.00922374561
34 1.013857364644625
35 1.013847861606845
36 1.013752164998537
37 1.013762326999403
38 1.00910853005321
39 1.01370582743949
40 1.01367184400958
41 1.013528684030996
42 1.013583116428648
43 1.013521064681597
44 1.013522367289016
45 1.013459577593979
46 1.013392848194204
47 1.013328767360597
48 1.013329404387259
49 1.013263907687485
50 1.013262658254214
51 1.01315208859295
52 1.01312679843919
53 1.013082412184312
54 1.013055092620155
55 1.013030473739868
56 1.012979671887857
57 1.012865041669194
58 1.012835443815992
59 1.012786121453352
60 1.012753627128714
61 1.012701510881577
62 1.012667746547884
63 1.012548574946885
64 1.012511416844287
65 1.012455659890348
66 1.012415882249463
67 1.012314169407885
68 1.012272365708242
69 1.012212677878846
70 1.012167237797407
71 1.012123672771202
72 1.012074750960764
73 1.011921830761083
74 1.01187059765591
75 1.011800301977483
76 1.011743368485178
77 1.011667662295948
78 1.011606848451523
79 1.011463972802071
80 1.011399003507506
81 1.011315329280038
82 1.011243465174211
83 1.011152373545647
84 1.011075354139769
85 1.010918153431462
86 1.01083542983646
87 1.010734857780825
88 1.010642338190678
89 1.010533543005289
90 1.010433330882455
91 1.0102543128031
92 1.010148760583239
93 1.01001951216439
94 1.009902002471438
95 1.009762471854488
96 1.009631944311264
97 1.009422004577028
98 1.009279151322315
99 1.00911613742598
100 1.008955598405136
101 1.008776694717092
102 1.008566414189277
103 1.008353699501716
104 1.008185323648321
105 1.00795507102399
106 1.007785093471747
107 1.007506013734277
108 1.007235479016765
109 1.006951994467867
110 1.006710022854582
111 1.006406644942277
112 1.006129297342643
113 1.005791743788216
114 1.00542753365187
115 1.005047286410183
116 1.004704053545998
117 0.9992890721177569
118 0.9988878313983564
119 0.9985901647068263
120 0.9979925738195876
121 0.9974625691884806
122 0.9969780608355676
123 0.9963876141699475
124 0.9958014506786068
125 1.000128960480495
126 0.9994064887345679
127 0.9984239672423447
128 0.9977639023106551
129 0.9968954203088198
130 0.9960029950291586
