"midline_velocity-rfile"
"Time Step" "midline_velocity"
("Time Step" "midline_velocity")
0 1.061651919440338
1 1.105905640503582
2 1.111019993221588
3 1.132025487865176
4 1.143399612643382
5 1.154256865869722
6 1.165539999626053
7 1.176838466423071
8 1.188353636572552
9 1.199990078029513
10 1.211858615483988
11 1.223848193819713
12 1.236080327853651
13 1.24844374283156
14 1.261055670537155
15 1.273805633949636
16 1.286815039059516
17 1.299968882505368
18 1.313390666528162
19 1.326966499127937
20 1.340818760259108
21 1.354832972219679
22 1.369136474373682
23 1.3836106298964
24 1.398384548889551
25 1.40685976913753
26 1.422067701706933
27 1.444130118874228
28 1.459841329217297
29 1.47577619327478
30 1.492168409378624
31 1.508752503139149
32 1.525632497400988
33 1.535746625185287
34 1.560148041927221
35 1.577934224734354
36 1.595905187079523
37 1.614358431519509
38 1.625766411124743
39 1.652133282960578
40 1.671524268973799
41 1.691089337427044
42 1.711339311786332
43 1.731767364058107
44 1.752681371675464
45 1.773878486207803
46 1.795469180280183
47 1.817469115560216
48 1.84000616206073
49 1.862857977685944
50 1.886252805052257
51 1.909924123825286
52 1.93422449128168
53 1.958987774736338
54 1.984248503515865
55 2.010022334029587
56 2.036267828846201
57 2.062919239540529
58 2.090287764451737
59 2.11818039888924
60 2.146686600140296
61 2.175734680940546
62 2.205450156929544
63 2.235613325573807
64 2.266608533306915
65 2.298231271993795
66 2.330595487597357
67 2.363519855925329
68 2.397304901880323
69 2.431810614160903
70 2.467141924251372
71 2.50326742339273
72 2.540204061788997
73 2.577736091171
74 2.616396523489644
75 2.655915098141124
76 2.696492743884777
77 2.737928488114118
78 2.780414576880349
79 2.823715857253125
80 2.868350094343031
81 2.913962949716037
82 2.960706521912296
83 3.008547675951093
84 3.057754266963216
85 3.107952902763197
86 3.159685015146599
87 3.212727698338145
88 3.26722258360276
89 3.323132322317054
90 3.380561425702952
91 3.439318323994039
92 3.499946053041381
93 3.562179621247655
94 3.626237322648425
95 3.692038718165327
96 3.759805669637559
97 3.829269749751403
98 3.900913482725747
99 3.974768194578227
100 4.050879417977526
101 4.129199186987032
102 4.209789651270746
103 4.292920322321303
104 4.379143750261373
105 4.467675314165302
106 4.559190311112959
107 4.653333782586534
108 4.750670264933621
109 4.851243510476068
110 4.955387555933095
111 5.062940120855145
112 5.174324840409247
113 5.289433480951742
114 5.408673070114855
115 5.532081163636756
116 5.660571829402081
117 5.765118528659933
118 5.902439882274583
119 6.045866279983633
120 6.193077299110924
121 6.346780673159925
122 6.506905847176551
123 6.67315651610642
124 6.846494577403321
125 7.061732948113481
126 7.250508799123826
127 7.446072196101294
128 7.652820460046852
129 7.866953927489324
130 8.091795763071834
