"mid_shear_stress-rfile"
"Time Step" "mid_shear_stress"
("Time Step" "mid_shear_stress")
0 1.866270029714908
1 2.029910584623179
2 2.021633704937956
3 2.082516306340532
4 2.113516068697515
5 2.150378261710225
6 2.19322540913284
7 2.238080038344063
8 2.285155179957291
9 2.33319081758627
10 2.382477338437843
11 2.431404805455257
12 2.479911434701716
13 2.528449757910774
14 2.577279829516583
15 2.625843332226689
16 2.675516677763281
17 2.724676032736223
18 2.773749232590845
19 2.825543264500749
20 2.879424452303953
21 2.934423375020788
22 2.990955150364224
23 3.048383285276888
24 3.107362173802977
25 3.139221224683329
26 3.204300411939016
27 3.298564502134774
28 3.360082125428133
29 3.423387895836706
30 3.48912827948876
31 3.555783058613363
32 3.623915676202578
33 3.659054583711622
34 3.765498435336921
35 3.836034548979309
36 3.908707390703595
37 3.984264942168106
38 4.02471413887382
39 4.143154805019797
40 4.22524839949945
41 4.310629500637021
42 4.400958067087487
43 4.492900215133093
44 4.588173951004479
45 4.686367846974099
46 4.787573372431047
47 4.891521598247941
48 4.999119966965701
49 5.10916134507847
50 5.223806156081259
51 5.340562631788402
52 5.465705151354856
53 5.591501326827728
54 5.724775164037478
55 5.860298508549619
56 5.999390515808318
57 6.142135999044966
58 6.290671666157766
59 6.444303171443631
60 6.602961906272322
61 6.768507495816539
62 6.945695182090891
63 7.124397534932207
64 7.309526501097099
65 7.502806443247776
66 7.704849928980274
67 7.911218678458283
68 8.122591642157309
69 8.341850332478703
70 8.567980474988317
71 8.805407439458962
72 9.043286927260302
73 9.293704344397117
74 9.557444663404278
75 9.831127439985488
76 10.11851859640334
77 10.41537283911534
78 10.72655325899079
79 11.04486041382078
80 11.37987757624807
81 11.73762871480916
82 12.10215586269528
83 12.48198831907172
84 12.87812434361836
85 13.2631801612069
86 13.68923197849945
87 14.12434525427967
88 14.59366191756089
89 15.08455588718126
90 15.59630563639249
91 16.12985175516999
92 16.68861347717711
93 17.2780772379884
94 17.90213173681868
95 18.55340857821258
96 19.22864336726732
97 19.93311262783044
98 20.68534104092083
99 21.44370878349984
100 22.25858409935277
101 23.09893184908418
102 23.99480846071791
103 24.94601586041686
104 25.93202289440988
105 26.98761037115434
106 28.09572082448341
107 29.25355398844219
108 30.47543337083492
109 31.75049996276902
110 33.114983652987
111 34.57914728647043
112 36.10317152881961
113 37.70896615032201
114 39.39938063048957
115 41.18579239398019
116 43.11620757919187
117 44.73039220701592
118 46.86354947917307
119 49.13184388108942
120 51.49617112280596
121 54.04298913691393
122 56.77002501044231
123 59.74802619903831
124 62.89970038225852
125 66.84867319648552
126 70.39542116245988
127 74.15066388773855
128 78.298638264361
129 82.79984320234746
130 87.57411322993747
